Prompt ID,Profile,Question,Answer,Option IDs,Other Response
9," of age: 23-26 years old, gender: Woman, Asian, with a Bachelor’s degree and 3-5 years of coding experience","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3: Use the AI’s suggestion as one of several factors in the decision,option_3,
9," of age: 23-26 years old, gender: Woman, Asian, with a Bachelor’s degree and 3-5 years of coding experience",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_3: Seek assistance from a colleague who knows the language,option_3,
9," of age: 23-26 years old, gender: Woman, Asian, with a Bachelor’s degree and 3-5 years of coding experience",You discover a critical bug right before a software release. What immediate action do you take?,"option_2: Delay the release to assess and fix the bug, ensuring the product meets quality standards",option_2,
9," of age: 23-26 years old, gender: Woman, Asian, with a Bachelor’s degree and 3-5 years of coding experience"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","option_5: Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",option_5,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",What is your preferred development environment?,option_2: macOS,option_2,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",How do you learn to code? Please select all that apply.,"option_1: Online Courses or Certification, option_2: Books","option_1, option_2",
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",What is the biggest challenge you face as a developer?,option_1: Keeping up with new technologies,option_1,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",When choosing a programming language for a new project you prioritize:,option_4: The specific requirements of the project,option_4,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_4: Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,option_4,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1: Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.
option_2: Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.
option_3: Participate in online courses and certification programs to acquire new skills and knowledge.
option_4: Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.","option_1, option_2, option_3, option_4",
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",How do you balance between innovation and meeting project deadlines?,option_3: Allocate specific time for research and innovation,option_3,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",Software development contributes to societal challenges by:. Please select all that apply,"option_1: Improving healthcare through technology, such as telemedicine platforms and health tracking apps
option_2: Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms
option_3: Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications
option_4: Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces","option_1, option_2, option_3, option_4",
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3: Use the AI’s suggestion as one of several factors in the decision,option_3,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,"option_2: Use your existing knowledge and adapt as you go, option_3: Seek assistance from a colleague who knows the language","option_2, option_3",
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience",You discover a critical bug right before a software release. What immediate action do you take?,"option_2: Delay the release to assess and fix the bug, ensuring the product meets quality standards",option_2,
10," of age: 27-35 years old, gender: Man, White, with a Master’s degree and Less than 1 year of coding experience"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","option_2: Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps
option_5: Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date","option_2, option_5",
